[ 2018-10-03 18:44:01 ] | Logs Cleared:- by User ID 1
[ 2018-10-06 10:08:16 ] | Login:-  Logged in
[ 2018-11-18 18:21:19 ] | Login:-  Logged in
[ 2018-11-18 19:10:11 ] | Login Failed:- Pharoouzy Uploaded a photo {IMG_20180306_131549.jpg}
[ 2018-11-18 19:30:22 ] | Login Failed:- Pharoouzy Uploaded a photo {Angry_Birds-wallpaper-10911202.jpg}
[ 2018-11-18 19:34:03 ] | Login Failed:- Pharoouzy Uploaded a photo {IMG_20180306_131721.jpg}
[ 2018-11-18 21:29:55 ] | Login:-  Logged in
[ 2018-11-18 21:39:13 ] | Login:-  Logged in
[ 2018-11-18 21:41:37 ] | Login:-  Logged in
[ 2018-11-18 21:42:14 ] | Login:-  Logged in
[ 2018-11-18 21:43:13 ] | Login:-  Logged in
[ 2018-11-19 01:04:54 ] | Login:-  Logged in
[ 2018-11-20 13:40:06 ] | Login Failed:- Pharoouzy Unable to login with {ddju}
[ 2018-11-20 13:40:07 ] | Login:-  Logged in
[ 2018-12-04 11:54:51 ] | Login:-  Logged in
